source/engine-and-pump.STEP
  cylinders near origin (<= 3000): 4787   far/outlier: 2720
              |axis| dir   count     r_min     r_max         area
  ( 1.00, 0.00, 0.00)    1731       0.2    1736.7      4697559
  ( 0.00, 0.00, 1.00)    1040       0.2     623.9      4133117
  ( 0.00, 1.00, 0.00)    1270       0.2     909.8      3532596
  ( 0.00, 1.00, 0.05)      12       5.4      27.9       665007
  ( 0.57, 0.41, 0.71)       4      49.2      50.8       375729
  ( 0.21, 0.67, 0.71)      36      42.9      52.7       365775
  ( 0.71, 0.71, 0.00)       7      74.6      76.2       337022
  ( 0.69, 0.16, 0.71)       4      36.5      38.1       171850
  ( 0.71, 0.62, 0.33)       4      36.5      38.1       168500
  ( 0.01, 0.22, 0.98)      26      44.4      52.3       114290
  ( 0.00, 0.09, 1.00)      48      18.0     507.0       101071
  ( 0.19, 0.98, 0.00)      45      18.0      23.0        65133
  ( 0.03, 1.00, 0.00)       9      76.2      91.6        61235
  ( 1.00, 0.03, 0.00)      30      10.0     150.0        54827
  ( 0.89, 0.46, 0.00)      21      44.5      52.3        44062
  ( 0.00, 0.78, 0.62)      15      46.0      57.8        33183
  ( 0.27, 0.39, 0.88)      15      46.0      57.8        31876
  ( 0.22, 0.00, 0.98)       4      11.0      12.7        29112
  ( 0.45, 0.00, 0.89)      10      27.5      36.0        28587
  ( 0.68, 0.74, 0.00)       2      82.5      82.5        26349
  ( 0.09, 1.00, 0.00)      14      12.0      15.0        25761
  ( 0.00, 0.97, 0.26)      14      11.0      73.3        25428
  ( 0.27, 0.96, 0.00)      10      13.0      13.0        24452
  ( 0.68, 0.73, 0.00)       7      10.0      91.6        23136
  ( 0.03, 0.05, 1.00)      17      10.0      38.5        22600
  ( 0.41, 0.68, 0.62)       9      27.0      45.1        19378
  ( 1.00, 0.05, 0.05)      33      10.0      20.0        19182
  ( 0.21, 0.78, 0.59)       4      16.0      20.0        17943
  ( 0.34, 0.87, 0.36)       4      16.0      20.0        17217
  ( 0.92, 0.39, 0.00)       4      17.5      24.0        14923
  ( 0.43, 0.75, 0.50)       4      12.5      14.3        14254
  ( 0.03, 0.81, 0.59)       4      11.0      12.7        12977
  ( 0.05, 1.00, 0.05)      22      10.0    1196.8        12778
  ( 0.99, 0.09, 0.05)       6      49.9      56.0        11895
  ( 0.18, 0.98, 0.10)       8      18.0      23.0        11233
  ( 0.00, 0.05, 1.00)      14       6.4     635.0        10921
  ( 0.01, 0.33, 0.95)       8      11.1      12.7        10851
  ( 1.00, 0.03, 0.03)      19      14.0      20.0         9808
  ( 0.27, 0.96, 0.06)       6      13.0      13.0         9736
  ( 0.09, 0.98, 0.18)       5      15.0      15.0         9585
  ( 0.50, 0.00, 0.87)       6      16.0     152.0         9570
  ( 0.42, 0.91, 0.00)       1      19.0      19.0         9030
  ( 0.00, 0.48, 0.87)       4      12.7      12.7         9015
  ( 0.86, 0.52, 0.00)      11      14.0      27.8         8937
  ( 0.59, 0.07, 0.80)       2      12.7      12.7         8848
  ( 0.53, 0.85, 0.00)       1      19.1      19.1         8678
  ( 0.09, 0.98, 0.17)       5      15.0      15.0         8619
  ( 1.00, 0.05, 0.00)      10      10.0      35.0         8619
  ( 0.24, 0.45, 0.86)       2      12.7      12.7         8534
  ( 0.27, 0.96, 0.01)       5      13.0      13.0         7836
  ( 0.82, 0.57, 0.00)       1      12.7      12.7         7322
  ( 0.91, 0.42, 0.00)       2      11.1      11.1         6280
  ( 0.72, 0.70, 0.00)       1      12.7      12.7         5999
  ( 0.34, 0.00, 0.94)       4      10.0      20.0         5691
  ( 0.50, 0.67, 0.55)       2      11.1      11.1         5506
  ( 0.03, 0.04, 1.00)       6      16.0      28.9         5416
  ( 0.03, 1.00, 0.03)       4      10.0      15.0         4935
  ( 0.70, 0.65, 0.31)       2      24.3      24.3         4896
  ( 0.93, 0.19, 0.30)       3      21.8      21.8         4411
  ( 0.10, 0.34, 0.93)       1      30.0      30.0         4319
  ( 0.00, 0.94, 0.35)       5      12.0      12.0         4216
  ( 0.68, 0.02, 0.74)       4      15.0      21.0         3994
  ( 0.11, 0.34, 0.93)       2      30.0      30.0         3844
  ( 0.47, 0.88, 0.02)       4      15.0      21.0         3823
  ( 0.73, 0.68, 0.00)       4      11.1      18.5         3735
  ( 0.94, 0.34, 0.05)       9      12.0      12.0         3526
  ( 1.00, 0.03, 0.04)       2      15.0      40.0         3234
  ( 0.69, 0.73, 0.00)       2      12.7      12.7         3095
  ( 1.00, 0.00, 0.05)       4      11.0      13.0         2871
  ( 0.05, 0.02, 1.00)       8      10.0      12.0         2574
  ( 0.00, 1.00, 0.02)       3      10.0      23.0         2405
  ( 0.05, 0.01, 1.00)       2      21.0     100.0         2249
  ( 1.00, 0.01, 0.05)       1      13.0      13.0         2204
  ( 0.03, 0.03, 1.00)       5      15.0      15.0         2088
  ( 0.61, 0.23, 0.76)       2      14.3      14.3         1993
  ( 0.07, 1.00, 0.05)       3      14.0      25.0         1836
  ( 0.96, 0.27, 0.01)       1      30.0      30.0         1792
  ( 0.10, 0.99, 0.11)       2      18.0      18.0         1766
  ( 0.12, 0.99, 0.01)       2      10.0      14.0         1754
  ( 0.00, 0.77, 0.64)       1      55.0      55.0         1698
  ( 0.34, 0.94, 0.07)       2      25.0      25.0         1666
  ( 0.31, 0.95, 0.00)       5      16.0      50.0         1570
  ( 0.87, 0.50, 0.00)       2      10.3      10.3         1487
  ( 0.00, 0.68, 0.73)       2      15.0      21.0         1480
  ( 1.00, 0.02, 0.05)       1      13.0      13.0         1424
  ( 0.95, 0.00, 0.31)       4      20.0      20.0         1396
  ( 0.02, 1.00, 0.05)       1      10.0      10.0         1327
  ( 0.02, 1.00, 0.03)       2      12.5      12.5         1312
  ( 1.00, 0.05, 0.02)       2      16.0      50.0         1311
  ( 1.00, 0.07, 0.01)       1      13.0      13.0         1300
  ( 1.00, 0.00, 0.03)       2      10.5      13.5         1225
  ( 0.77, 0.00, 0.64)       3      10.4     152.0         1200
  ( 0.95, 0.31, 0.05)       2    1931.5    1931.5         1174
  ( 0.02, 0.03, 1.00)       2      10.0      10.0         1157
  ( 1.00, 0.05, 0.07)       3      10.0      10.0         1076
  ( 0.36, 0.93, 0.00)       2      10.0      10.0         1030
  ( 0.08, 0.99, 0.07)       2      12.0      12.0         1021
  ( 0.13, 0.99, 0.10)       1      12.0      12.0          993
  ( 0.97, 0.23, 0.05)       1      11.0      11.0          988
  ( 0.98, 0.17, 0.05)       2      10.0      10.0          970
  ( 0.00, 0.72, 0.69)       3       0.8      10.7          899
  ( 0.39, 0.92, 0.02)       1      14.0      14.0          896
  ( 0.18, 0.98, 0.00)       2      23.0      23.0          885
  ( 0.86, 0.51, 0.07)       1      20.0      20.0          809
  ( 0.97, 0.26, 0.00)       1      15.0      15.0          777
  ( 0.02, 0.00, 1.00)       1      30.0      30.0          777
  ( 0.10, 0.99, 0.03)       1      18.0      18.0          723
  ( 0.05, 0.05, 1.00)       2      16.0      16.0          691
