C:/Projects/Misc/3336180ci510.stp: 56 Y-parallel cylinders, r>=100.0, within +/-100000
   radius        area     axis X     axis Z       at Y
    188.0        6969       -0.0      550.5     -120.3
    188.0        6838       -0.0      194.5     -119.9
    188.0        6659       -0.0     1084.5     -120.0
    188.0        6242       -0.0      906.5     -115.4
    188.0        6242       -0.0      728.5     -115.4
    188.0        3884       -0.0      372.5      -65.9
    500.0        2370      567.3      473.6      255.5
    179.0        2342      -37.0      194.5      401.6
    172.0        2074      -37.0      194.5      402.7
    194.0        2009       -0.0      550.5     -113.7
    194.0        1935       -0.0      728.5     -113.7
    194.0        1776       -0.0      906.5      -65.0
    200.0        1498       -0.0      194.5     -120.4
    300.0        1431      460.7     1257.0     -106.7
    199.5        1398        0.5     1084.5       35.9
    199.5        1398        0.5      372.5       35.9
    199.5        1398        0.5      906.5       35.9
    199.5        1398        0.5      728.5       35.9
