C:/Projects/Misc/3336180ci510.stp: 48 Y-normal planar faces, area>=40000
       area          X          Z       at Y    n.Y
     594907        3.5      605.5     -145.0   1.00
     432023      -15.7      604.7      466.4   1.00
     378676      -29.1      593.1      601.5   1.00
     342623       -6.6      601.2      465.0   1.00
     328342        4.6     1737.6     -356.7   1.00
     328342        4.6     1737.6     -366.2   1.00
     269373     -253.6      665.3      976.4   1.00
     269373     -253.6      665.3      970.1   1.00
     266682        0.0     1784.9     -285.3  -1.00
     266682        0.0     1784.9     -280.7  -1.00
     266682        0.0     1784.9     1485.2   1.00
     266682        0.0     1784.9     1480.6   1.00
     244815        0.0     1599.1     -277.6  -1.00
     244815        0.0     1599.1     -280.2  -1.00
     203900      127.1      193.5      982.7   1.00
     203900      127.1      193.5      976.4   1.00
     144111      -30.3      622.6      801.5   1.00
     108443      387.1     1314.2      462.3  -1.00
     108443      387.1     1314.2      465.0  -1.00
     104394       -9.9      598.1      465.1  -1.00
